questions,cal,eq,choice
eeb3754e8130cac914b5f033fa17bec5,True,False,eq
e421cdf4b3bb43e6aebf088a07a46c2b,True,True,eq
1dc21ad97e80706d5b9808d29ff11418,True,True,eq
29e2b4c84094588975d90679a2b779f9,False,False,eq
601fc96ec84c24aacd15ab9defa744a8,True,True,cal
444047a4062a832310d3f754ff053bfa,False,True,eq
e2eeb08353de558529f2c3364259484f,True,True,eq
966fd8e7cf0bee57f1c2fa763f9cbabb,False,False,cal
2fc48072baf42fca7fa5e28c6ba54d3d,True,True,cal
672b1d59b1e6e59756254bd340ffa383,True,True,eq
ff435109f470f773695054b5c33fdc6a,True,True,eq
a4c244cdf8f98712f95a84a4ab079856,True,False,eq
0dd758d1e7460ebcc77b29c30058a722,True,True,eq
824bf76a1383ccd08ab999406618f59c,True,True,eq
117940e8ac4755de06d0f5f3cabeeb58,True,True,eq
f2f1b1b256d7aea5134805b9c02875d3,True,True,eq
46b28753f16a98fd613a5ec472d136a8,False,False,eq
f741146e3620c1fbdcc7eab9e6ff14f9,True,True,cal
f8b89fb5dccc4ccc15f05bb3b4eb439e,False,True,eq
cf27865ad40fc69a12da03125f3ed0e6,True,True,cal
d3998582eb21bab05b09c41c916d1aea,False,False,eq
5f9f134db73c11118dfedd268ea12b1b,True,True,eq
9c2af6ae183277866aac92129c7f803f,True,True,cal
2a5efb614a8fa4fdf78b816ba9c46ef2,True,True,cal
1911543970d95d896de3791d6ddbc084,True,True,cal
594722eb7a2503f7f85a11f4a0b8f573,True,True,eq
50ca535f4faaa8de0351c2c164ba04cc,True,True,cal
0382cc52ef971c15ab7d485ec1ee9a20,True,True,cal
ab07ae7f0dbcd8dc780102b72909561e,False,True,cal
cd624f25f154101d6a68021c51720283,True,True,cal
f8135a49a5dad250af4a66f50b7df210,True,True,cal
2daa30d2a2980d883ef5f22369e5f4ff,True,True,eq
4e5c5aadfe27568f4f17b42dfa1af7ab,True,True,eq
0730ade46de2e22c16bb6486b1f271ac,True,True,eq
00dfaf99db57a0d16489354f79eeae62,False,False,cal
3e7cf2e5012f754a1395f8695f807175,True,True,cal
9074857c68a662875d1867bf235446fd,True,True,eq
db1e69d0de31e9959c6700a79c2adf4c,True,True,cal
b3d7feb616c8ed907e1e847e6afd10d8,True,True,cal
d0015a6108cfa947fd02f638b54214a7,True,True,cal
ee9eafdbc7493cce9ec71422ee236592,False,True,cal
fa695d41baffeb7a72a3d182c4721f2c,True,True,eq
d37061dd44491c019cf65b89c92d89c1,False,False,eq
37b966df691e2f790a52f13eeeb20226,True,True,cal
ad06b3df82c187178759e4d97c9257d7,True,True,cal
4f2c5ece71d1acdbb59763a0da8f948a,True,True,eq
0ba58c702a2887e715b6b06a91a2dd5a,True,True,cal
ef3f05c2340e891a87638ff57e16eb10,True,True,cal
edc93f1e52665968473f86af7b6bb386,False,True,eq
e1238df4aef54988a7e1564e562fab44,True,True,cal
7ef9400e1c2ed66a7f12924b05d0f146,True,True,cal
b9b27afcdc89c87571690c1b9cbc7d31,True,True,cal
6a8ea465de2ff57ca9fda9148a902269,True,True,cal
78cd7db45118b824114bafbab01b0965,True,True,cal
15a784dc85bf92dc696b9d3fba6fcede,True,True,cal
9b11f95cb93d768eb6bebfb6efe400f7,True,True,cal
52cf41e6849eb7e5f5ceee1e28e056e4,True,True,eq
25a156927007772960a603f4146be72e,True,False,eq
3659acb4f53d03a287da530e118f9107,True,True,cal
1cc051449cf128d49b06fc60ea5050d5,True,True,cal
7961296b41c8271b44014ff6e99c7f01,True,True,cal
24328580d10247949bb958ad4e51f595,True,True,eq
bbc66ced40cd49ef1bf350adf492a8ae,True,True,cal
6329dbc569033d6ac52540743dac5e45,True,True,cal
b1cde708adcd1deeafe3068a2f3e4447,True,True,cal
086507bddf782f591666847b616b9429,True,True,cal
a8373a405e15eeb01eb8d51b154c787f,True,True,cal
e1b4257a48bf92f5221584887e440703,True,True,cal
81c9fbdaaaab8d27e18774d7b0f686fd,False,False,cal
f8d412757638bf9b0e519fb53a75e2f3,True,True,cal
7f3ccac6958fd0c767e7600a26593873,True,False,cal
904b51005ebc94c5e99ca14201f7e3ca,True,True,cal
2d2afdc65329422f5c49cee218ba228a,True,True,eq
a0c8e09c6a59893d1af3d9a84b5f95d1,True,True,eq
4f940cf25da5f67c7883b4d5625c388e,True,True,eq
d4f12eb29b9e1c5491d504afe5a16fd0,True,True,cal
2912a88ea8273c337045e7b4e570b454,False,False,eq
78fc87faeb5bcc3ad12917bb11150341,False,False,eq
ce108a352e709d338fa8417ddc609a4f,True,True,eq
b482e848704384a7ffa587cb674632fe,True,False,cal
b4928d950232cf370918da49455912cc,True,True,cal
4c9dd54eb8c4e7804a88fe86df90eb2c,False,True,cal
ae141ea0d2ecfeb14d817dd35649461e,True,False,eq
c3206fb6044ae7777c448efb3b47b6cd,True,True,cal
9a5c01dd59854f5839e5f5dc4864cb97,False,True,eq
7c69879f0466dd88fab760df33a4df5d,True,True,cal
88c49542e506625b5eb9456afc14eba8,True,True,cal
c77f60b4e0daf4cfd5b53cad1d581828,True,True,eq
31a70d3a5a7daa556479b549041a3246,True,False,cal
ed093dfbe166e32a90ac091494772265,True,True,cal
4c1033d51395cf31ffe10893f3fb85bb,True,True,eq
792dbe094bec77b52dfd4b95b683196e,True,True,eq
02354e9cf74ab5b8351dfff5f88d65ff,False,True,eq
cbc6287a004a22c406194b6ae0646c15,True,True,eq
dd5773edd7a3f6897fc5ed69823a57e8,True,True,cal
f8c1c219b2dcbfb0aa8a480e88f773eb,True,True,eq
f188cfc5ed03d918f99dcfc46a5a82db,True,True,eq
15742a05ccb381772dd6e31cf1ee4943,False,False,cal
b6a04087101e54097ee6bb6ac3d5aad3,True,False,eq
e7c3af1b7b8c70d244edac4d9c6e8968,True,True,cal
95b9b9c288404f5d837a587485870869,True,True,eq
666ace9cf44fa0778dbe4e1f829dd345,False,True,cal
66f90e5d30214894948f6b1f8d4fda68,True,True,eq
cebf2b40ed6a3ba96a5940282671c83c,True,False,eq
db89200d63c4b45d54f7053c4b2a233a,True,False,eq
dfacd72e053623455e4df9844a91fa43,True,True,eq
80816a1b66668930079285dedb935e40,True,True,eq
da05fd70b93084cb742724edeb16faad,True,True,eq
27a6fc3a301bc2ff0b94cf006bcb4800,True,True,eq
0d544638b843763f44e08491bd8f5f51,True,True,eq
ab5d37a1b26176537e85c9a31401d7d8,True,True,cal
fecdfbbdca648da2ff19218d630d3c7e,True,True,cal
eba213e044603d79e9d2ec9596cf1bb2,True,True,cal
0c0caf02d60d8515181b5d85c8adfb2b,True,True,eq
dee9b150300319eca246b6126a8ef9f4,False,True,eq
7990f5605f5176c4cc6d563c06bfc8a4,True,True,eq
1d635407b4e8eea41bb4896137b2f654,False,False,eq
4b58c8cb1f81b9522d9ca15ca5275888,True,True,cal
b4af462e4a4a5fcde0a43443745d34a9,True,True,cal
5ce1f67c67be3fd6392f8f68e4709c2b,True,False,eq
2cd04e022b23f934bb219b5d32427df8,True,True,cal
2ca4d42b3a7472640b27430f4433a768,True,True,cal
e98a7293d011a55b288bb4b2267d8860,True,True,cal
f6ea40eee2dde4422b6f15dcad60e536,True,True,cal
723f46290562b44d06da68b962ee44e0,True,True,cal
4eb2a61c8ca7f35b16732f86bb6607dd,True,True,eq
91fb7d3bc85d322076f16007cb52b1db,False,False,cal
d65be11ccd6058a08f60b65c8c9685ba,True,True,eq
ddac00c18c41434f4f688e32f4842fab,True,True,cal
ea463057407536e3f32c44755ea099c3,False,False,cal
593fd60a7a487fbb9dc8459601be482b,True,True,eq
ead1a4552ef3e0c5e1ca065f41c865f5,True,True,eq
4cbfce4d3155915c45e0c6ea16eecc67,False,False,eq
52448630ed0843b60223278a9f66ac1e,True,True,eq
cec3c980a0c95fdfa0779b2b0e90e6b8,True,True,cal
3b00c3279b0195e69253305cd15c1b28,True,False,eq
2d1cd6871dd7d08c817e0cd5e705ddef,True,True,cal
68ca38ccd78a599ab18aa411a791280e,True,True,cal
5047ff0291a709717fe89903976bb69f,True,False,cal
16d1d9c1157c46d2003afac80ea2edb7,True,True,eq
dd79feec7de13b506812516f61d2f728,True,True,eq
d8fc4f5cb7c08828bf4e9ffb704acb9c,True,True,cal
61a3158f47a887fbb94be8ae441839d2,False,True,cal
6a6e82d6c12a85b47c4fc6a26be96713,True,False,eq
2274060e266eb575c562c3edc445068f,True,True,cal
017ab7fe3358beb1f9ef463b95600262,True,True,cal
9ac5101fbb975a4f7409f384a9dbbc2d,True,True,cal
0ff5a58e520170ebd34c2c7102aeed3b,True,True,eq
3660d2dc3903d93dd2da0b4844972bf0,True,True,cal
481b3460d38dd84b6b79b496c5d6f12c,True,True,eq
30f241f5223ccad3f65212a62c697265,True,True,eq
3c42c75dcae8f67a97517b37d0f280d6,True,True,cal
e2b4fd0ea166b1c1286e9e59c9b9a141,True,True,eq
11ab27220371320713153f39fe8a649f,True,True,eq
8327db45f226df329a88c5b68b062d48,False,False,eq
eb6f11329bf9094a2975d8d4faff5a62,True,True,eq
eb80918d7a909371edc020b0148f8457,True,True,eq
6d62e281771dd0cec2a57a8855b64ac6,False,True,eq
f8c4ac742e6c9ce59588aed84eb0c7c3,True,True,cal
3a45e84a5abab2b6f3c7e5d2eb265c57,True,True,cal
39cd361fe4b428bcefab41a48559e5f9,True,True,eq
2a54010d34f4e388ae0fc7c8398602c9,True,True,cal
dbabb55b0345f9d78df210227e5956c7,True,True,eq
d57850c60d9eaeb9f5a95a0bfce82092,True,True,eq
57ad19656b9412d00b64d206f41a75fd,True,True,cal
9da34eb785a1521984cb13ddff49f28f,False,False,eq
6ee8c6f23e5e0e63e377d252301a91ad,True,True,eq
7ccfc20c34b1bc74b2a21de5ca77ccaf,True,True,cal
a08ee4c432ee26012cb0a1164172ccc8,True,True,cal
0b356e9ca190571c66b17965d4d6002e,True,True,cal
d26c3298f578910d92098f46bfb4fa9e,False,False,cal
dad6ddaa41cad7c2bfcdb9dd88062f3e,True,False,eq
13c3819e4aa4e956ae4219d1bedc5444,True,True,cal
46da2315ac80ceab74061c21498b9543,False,False,eq
439c710d8db254fe8b081de3a54f5f1c,True,True,cal
eee7d4fab8022a4ccaf73ac1ef32dd5d,False,False,eq
c6556f303c470b1bb3abd7677f59fcbd,True,False,cal
ba4e4e32786705a5d121e6a3f59d6ab4,True,True,eq
e741235523b7ec181676695aab48d298,True,True,cal
cdb9c556b1cb2bf0adc214497a5a5c0d,True,True,eq
3852894307e577217d7b6cc774ab936e,True,True,cal
9424c53bae189fd5752fc6cbfd016705,True,True,cal
3af37762adaf51acc1201dc4e2a42170,True,True,eq
c6c0ea8eab2a930d2cc249c86518a75f,True,True,eq
82b1b4e5feafc59434074c54c16bfe80,True,True,eq
bba9a6c4631ef0bcf60f197bc4220a42,True,True,eq
03c1391a155fbfe273eb53ea834c0f66,True,True,eq
4f9d9e5b2afe77e515358fd73f983d8e,True,True,eq
295935d4af86751e534bfb0e162ee23b,False,False,cal
7982af03073bf09491f1380c08df1ba7,True,False,cal
e28bf6d7f0a8538e7b72e6d4aa10beae,True,False,eq
e835493f788e6d0654ee4d33d946f03e,True,True,cal
4bed7dc6d18566810adff60d7035f581,False,False,eq
b22189842c6f9e91ff0cae17a544882a,True,True,eq
b42e029aafd0cdc72a87bde895ce0223,True,True,eq
fd836b996835479953b9d12d7b4e0339,True,True,cal
0f748bb71fac2fca6c2e44d4a16cf0d0,True,True,eq
dfd5c2387fe814f1f4f20fc93cc6e455,True,True,eq
2ea04e5c40768cd9adafe6ba3c59e666,True,True,cal
444aca41db45f7ecf63d9593aaacdbe4,False,True,cal
70da193319c64705ecc6fb6cdb0b39f1,True,True,cal
3f5aae9b3edd8872fc4699c032ad17a4,True,True,eq
42098f3e327b4350bbf2d63d8cc8a189,True,True,eq
73736f86fba13f3db0d595461da44100,True,True,eq
0350fcfc5328d4fb05f0d78a7a27e0f3,True,True,eq
4c5dbfc7149b356700b5e5502d784dc8,True,True,cal
f7a8d984e8c214217fd9574b9f394c90,True,True,cal
2e1e8c66f60758155d6f80ab789b2ca6,True,True,cal
ba8516f39fc330c22e70a6f8527cf8fc,False,True,cal
41d423fc6a57789de03f3a59f393f1ba,False,True,cal
ad4aaff7593b2de381f8ba1af265b569,True,True,eq
8ac64560d5a424e34096218fc3d0c3e3,False,True,eq
71b35eb2e8a62c410f6f680d3a332b9e,True,True,cal
0bb4ab6f578f4ccca4dbc76bf437e5b6,True,True,eq
f2b94aec9c0545907152959f2fa815b5,True,True,cal
e8b87cdc1be02f51c2865cf87c738670,True,True,eq
8a05fa5fb916783ec0ef756d0a518cf3,True,True,cal
d51a7ce266e488d104f127c8cb5fc12f,True,False,eq
990a69407168df383b81068faff3bf23,True,True,cal
95923c38336640d9a1374818efee3372,True,True,cal
23ce3387c5072f23259a3cac671da6ba,True,True,cal
4dc5f3798aae088bccf036efa91de1aa,True,True,cal
e011dddc30f70d39c46e4142393a5c14,False,True,eq
ea3d1ee8c9697e17d0b62c69bbeded0d,True,True,eq
9ebafbef8b37d232e66f5c3f7056c7a0,True,True,eq
5a8b4e771b0cff9e21c642d0e29482b5,False,False,eq
9243d970fa63a8b4ee9d83b14d591424,False,False,cal
36ad6232505713c4aeddfe90ee32150c,True,True,cal
83b0e74ccf2a509198e252ead7c0c338,True,True,cal
c6156101d4e472015ad296e8b9700c2a,True,True,cal
8df4e9f6354df132401a3cc66770eb44,True,True,cal
87a941dfddf0a9f15f55428073a73fee,True,True,cal
a94717e649ecac75fe7401e204172a1c,True,True,eq
9b35bb1f54e9bc0770b323fbf87f5e11,True,True,cal
9a66c902ff5b2972210f74019c6480c7,True,True,eq
995b6a082e42e11f6248d98fafb9b35f,True,True,eq
a87892568386e7fc972317e8b19da49a,True,True,cal
f9972ec09c9f8b5990d9c8e78912fa3c,True,True,cal
55c816accc76b0408fe2cdea892036f3,True,True,eq
4a2bd1eb42eb57af57f61874f5eaab80,False,False,eq
4e58a2e60e96dce9482633f3c0b608f0,True,True,cal
fb2e59e043b08dbad4517dd9e10c06b8,True,True,cal
12347c8eef273bdec62589a108469b6d,True,True,cal
daff5aebf0cb8ac200fe5a330ee4b3b4,True,True,eq
5fcf51246cea3839d097a5f5c2cdd624,False,False,eq
6e8647466625671832e1af7410c27330,True,True,eq
4089c39411b088498b27cc21a0f532d5,False,True,cal
3433f2043e0a8c30b42e27d504787999,True,True,eq
fa01fcbc5cb47bcdfecb8738da0dabcc,True,True,eq
d6a9c7df9c433d429182de13ceeea58a,True,False,cal
9702454563b215db4b8cd76cecff45bf,False,False,cal
94510cd37081b22391ea354e391728c9,True,True,cal
c47cdcc8a1b0259c0dfdc8096685a18a,True,True,eq
